iter	Passed	Remaining
801	978	241
802	979	240
803	981	239
804	982	237
805	983	236
806	984	235
807	986	234
808	987	233
809	988	231
810	990	230
811	991	229
812	993	228
813	994	227
814	995	225
815	996	224
816	997	223
817	998	222
818	999	220
819	1000	219
820	1001	218
821	1002	217
822	1004	215
823	1005	214
824	1006	213
825	1007	212
826	1008	210
827	1009	209
828	1010	208
829	1012	207
830	1013	206
831	1014	204
832	1017	203
833	1018	202
834	1019	201
835	1020	200
836	1021	199
837	1023	197
838	1024	196
839	1025	195
840	1026	194
841	1027	192
842	1028	191
843	1029	190
844	1030	188
845	1031	187
846	1034	186
847	1035	185
848	1036	184
849	1037	183
850	1038	181
851	1039	180
852	1040	179
853	1041	178
854	1042	176
855	1043	175
856	1044	174
857	1045	173
858	1046	171
859	1047	170
860	1048	169
861	1049	168
862	1050	166
863	1051	165
864	1052	164
865	1053	163
866	1054	161
867	1055	160
868	1056	159
869	1057	158
870	1058	156
871	1059	155
872	1060	154
873	1061	153
874	1062	151
875	1063	150
876	1064	149
877	1065	148
878	1066	146
879	1067	145
880	1069	144
881	1070	143
882	1071	141
883	1071	140
884	1072	139
885	1073	138
886	1074	136
887	1075	135
888	1076	134
889	1077	133
890	1078	131
891	1079	130
892	1080	129
893	1081	128
894	1082	126
895	1083	125
896	1084	124
897	1085	123
898	1086	122
899	1087	120
900	1087	119
901	1088	118
902	1089	117
903	1090	115
904	1091	114
905	1092	113
906	1093	112
907	1094	110
908	1095	109
909	1097	108
910	1098	107
911	1099	106
912	1099	104
913	1100	103
914	1101	102
915	1102	101
916	1104	99
917	1105	98
918	1106	97
919	1107	96
920	1108	95
921	1109	93
922	1110	92
923	1111	91
924	1112	90
925	1112	88
926	1113	87
927	1114	86
928	1115	85
929	1116	84
930	1117	82
931	1118	81
932	1119	80
933	1120	79
934	1121	77
935	1122	76
936	1123	75
937	1124	74
938	1125	73
939	1126	71
940	1127	70
941	1128	69
942	1129	68
943	1130	67
944	1131	65
945	1131	64
946	1133	63
947	1133	62
948	1134	60
949	1135	59
950	1136	58
951	1137	57
952	1138	56
953	1140	54
954	1141	53
955	1142	52
956	1143	51
957	1144	50
958	1145	48
959	1146	47
960	1147	46
961	1148	45
962	1149	44
963	1150	42
964	1151	41
965	1151	40
966	1152	39
967	1153	38
968	1154	36
969	1155	35
970	1156	34
971	1157	33
972	1158	32
973	1159	30
974	1160	29
975	1161	28
976	1162	27
977	1163	26
978	1164	24
979	1165	23
980	1166	22
981	1167	21
982	1168	20
983	1169	19
984	1170	17
985	1171	16
986	1172	15
987	1173	14
988	1174	13
989	1175	11
990	1175	10
991	1176	9
992	1177	8
993	1178	7
994	1179	5
995	1180	4
996	1181	3
997	1182	2
998	1182	1
999	1183	0
